Country	2024 Score	Global Rank (2024)	2018 Score	Global Rank (2018)	Change (2018–2024)	% Change
UAE	51.6	53	58.90	77	−7.3	−12.4%
Oman	51.3	55	51.32	116	−0.02	−0.0%
Israel	48.0	70	75.01	19	−27.01	−36.0%
Jordan	47.3	77	62.20	62	−14.90	−24.0%
Qatar	46.8	82	67.80	32	−21.00	−31.0%
Tunisia	45.3	91	62.35	58	−17.05	−27.3%
Kuwait	44.4	95	62.28	61	−17.88	−28.7%
Egypt	43.7	101	61.21	66	−17.51	−28.6%
Saudi Arabia	42.5	108	57.47	86	−14.97	−26.0%
Iran	41.8	113	58.16	80	−16.36	−28.1%
Algeria	41.7	114	57.18	88	−15.48	−27.1%
Lebanon	39.9	126	61.08	67	−21.18	−34.7%
Morocco	39.5	128	63.47	54	−23.97	−37.8%
Sudan	39.1	131	51.49	115	−12.39	−24.1%
Bahrain	35.3	157	55.15	96	−19.85	−36.0%
Iraq	30.3	172	43.20	152	−12.90	−29.9%
Libya	N/A	N/A	49.79	123	N/A	N/A
Syria	N/A	N/A	N/A	N/A	N/A	N/A
Yemen	N/A	N/A	N/A	N/A	N/A	N/A
Palestine	N/A	N/A	N/A	N/A	N/A	N/A
