Country	LPI 2023	EPI 2024	GLPI
UAE	3.94	51.6	1.000000
Oman	3.62	51.3	0.895397
Israel	3.60	48.0	0.811834
Qatar	3.59	46.8	0.780617
Saudi Arabia	3.53	42.5	0.661385
Jordan	3.15	47.3	0.658207
Egypt	3.35	43.7	0.634676
Kuwait	3.20	44.4	0.605376
Tunisia	2.95	45.3	0.550283
Morocco	3.31	39.5	0.523889
Bahrain	3.57	35.3	0.504566
Algeria	2.78	41.7	0.413947
Lebanon	2.89	39.9	0.405230
Iran	2.30	41.8	0.269953
Sudan	2.40	39.1	0.237061
Iraq	2.70	30.3	0.121951
Libya	1.90	N/A	N/A
Yemen	2.20	N/A	N/A
Syria	2.30	N/A	N/A
Palestine	N/A	N/A	N/A
